session_id,true_session_median,pred_session_median,true_session_mean,pred_session_mean,n_trials
23a477dd-d8b8-42c6-adbe-47f39ed77952,5.775349140167236,4.653249263763428,5.930634347597758,5.2155825853347775,30
2a298ece-1693-424d-9d70-7988e3c23aa6,5.772815704345703,4.947077512741089,7.215590536594391,5.16619947552681,16
359314b3-5a7c-4dd0-b813-6d8344c62062,5.362051725387573,5.170925140380859,5.50474476069212,5.502521134912968,48
396f53e6-e4aa-4d49-861d-5cab0e380592,4.442166805267334,4.2801361083984375,4.699348897200364,4.739913859734169,65
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,5.282232761383057,3.615377426147461,5.8133307905758125,4.008493466587628,85
52c3627d-635c-44b0-8eca-f1a6c372019d,6.500377178192139,7.449304580688477,7.249404261751873,7.631278840506949,41
74500da8-b16d-48c9-a573-2b507d395bbb,6.64198899269104,4.921845436096191,7.462119902883257,6.714172942297799,14
84a32360-b241-415e-9626-55dddd442162,5.7138471603393555,4.015012145042419,6.172647595405579,5.0476639441081455,28
957d4d90-5e33-448f-8662-9a27f6f2b66c,4.539228916168213,4.549803256988525,5.19893616437912,4.797767743468285,32
99ea5a4e-5011-47ee-823c-56fdacec63f5,5.113263130187988,5.646876335144043,6.253117159793251,6.179200724551552,19
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,5.670212745666504,5.688884258270264,6.049233606393389,6.148202123401834,139
c488b456-7651-4424-8cc9-8f81ed92e0e2,3.826413869857788,5.044199466705322,4.178360648857531,5.332795048868934,129
c9a0db8e-8359-4a36-8e49-5080627736e3,5.194742202758789,5.609254837036133,5.319714178057278,5.913939802085652,68
dfb19734-6102-44df-8e11-9947e134eeb2,4.855199813842773,4.270406246185303,5.352329195870293,4.778322251637777,45
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,4.7284464836120605,3.6404823064804077,5.474446735884014,4.111431438671915,38
f59e9a00-0a45-4497-8048-818cd5f48267,5.0045671463012695,5.7663984298706055,5.921932285482233,5.776141079989347,33
